iter	Passed	Remaining
819	3749	823
820	3753	818
821	3758	813
822	3762	809
823	3766	804
824	3771	799
825	3775	795
826	3780	790
827	3784	786
828	3789	781
829	3793	776
830	3798	772
831	3802	767
832	3807	763
833	3811	758
834	3816	754
835	3821	749
836	3825	745
837	3830	740
838	3834	735
839	3838	731
840	3843	726
841	3847	722
842	3852	717
843	3856	712
844	3860	708
845	3864	703
846	3868	698
847	3873	694
848	3877	689
849	3882	685
850	3887	680
851	3891	676
852	3896	671
853	3900	666
854	3905	662
855	3910	657
856	3914	653
857	3919	648
858	3923	644
859	3929	639
860	3933	635
861	3938	630
862	3942	625
863	3947	621
864	3952	616
865	3958	612
866	3963	607
867	3967	603
868	3972	598
869	3976	594
870	3981	589
871	3986	585
872	3990	580
873	3995	575
874	3999	571
875	4004	566
876	4008	562
877	4013	557
878	4017	553
879	4022	548
880	4026	543
881	4031	539
882	4036	534
883	4040	530
884	4045	525
885	4050	521
886	4055	516
887	4059	512
888	4064	507
889	4069	502
890	4074	498
891	4078	493
892	4083	489
893	4088	484
894	4093	480
895	4097	475
896	4102	471
897	4107	466
898	4112	461
899	4116	457
900	4121	452
901	4126	448
902	4131	443
903	4136	439
904	4140	434
905	4145	430
906	4150	425
907	4155	421
908	4159	416
909	4164	411
910	4169	407
911	4174	402
912	4178	398
913	4183	393
914	4188	389
915	4193	384
916	4197	379
917	4202	375
918	4207	370
919	4212	366
920	4217	361
921	4222	357
922	4227	352
923	4232	348
924	4238	343
925	4242	339
926	4247	334
927	4253	330
928	4258	325
929	4263	320
930	4269	316
931	4274	311
932	4278	307
933	4282	302
934	4287	298
935	4292	293
936	4297	288
937	4301	284
938	4306	279
939	4311	275
940	4315	270
941	4320	266
942	4325	261
943	4330	256
944	4335	252
945	4340	247
946	4346	243
947	4352	238
948	4357	234
949	4362	229
950	4367	225
951	4372	220
952	4376	215
953	4381	211
954	4386	206
955	4392	202
956	4397	197
957	4402	193
958	4407	188
959	4412	183
960	4417	179
961	4424	174
962	4428	170
963	4434	165
964	4438	160
965	4443	156
966	4447	151
967	4452	147
968	4457	142
969	4461	137
970	4466	133
971	4471	128
972	4475	124
973	4480	119
974	4485	115
975	4489	110
976	4494	105
977	4499	101
978	4503	96
979	4508	92
980	4513	87
981	4518	82
982	4523	78
983	4528	73
984	4533	69
985	4538	64
986	4543	59
987	4548	55
988	4552	50
989	4557	46
990	4561	41
991	4566	36
992	4571	32
993	4575	27
994	4580	23
995	4584	18
996	4589	13
997	4594	9
998	4599	4
999	4604	0
